"Points:0","Points:1","Points:2","U:0","U:1","U:2","blendedIndicatorU","k","nut","omega","p"
0.525,0.9554,0.005,0.0069044,-0.025782,-1.691e-24,0,0.00021887,0.0014066,0.1556,0.01411
0.475,1.0054,0.005,0.0051579,-0.028239,-8.8835e-25,0,0.00022658,0.0013688,0.16553,0.01414
0.425,1.0555,0.005,0.0035735,-0.030686,1.2866e-24,0,0.00023609,0.0013283,0.17774,0.014176
0.375,1.1055,0.005,0.0021706,-0.03308,8.7129e-25,0,0.00024718,0.0012839,0.19252,0.014217
0.325,1.1556,0.005,0.00097249,-0.03537,8.456e-25,0,0.00025917,0.0012307,0.21058,0.014264
0.275,1.2056,0.005,8.4713e-06,-0.037501,-5.3441e-25,0,0.00027069,0.0011591,0.23354,0.014317
0.225,1.2557,0.005,-0.00069206,-0.039421,7.9182e-25,0,0.00027935,0.0010535,0.26517,0.014377
0.175,1.3057,0.005,-0.001098,-0.041089,4.8795e-26,0,0.00028122,0.00089358,0.31471,0.014444
0.125,1.3557,0.005,-0.0012256,-0.04247,3.6623e-25,0,0.00026921,0.00065749,0.40944,0.014522
0.075,1.4058,0.005,-0.00081292,-0.043437,7.7541e-38,0,0.00022709,0.00034367,0.66078,0.014603
0.025,1.4558,0.005,-0.00084198,-0.042454,-8.5615e-24,0,0.00011801,6.028e-05,1.9578,0.014715
1.525,0.024,0.005,0.031576,0.00091672,4.084e-25,0,6.3877e-06,3.007e-06,2.1243,0.014396
1.475,0.072,0.005,0.040749,0.0020397,-9.6309e-39,0,4.6054e-05,7.1009e-05,0.64857,0.014345
1.425,0.12,0.005,0.042153,0.0022088,-1.7653e-24,0,7.8617e-05,0.00023489,0.33469,0.014299
1.375,0.168,0.005,0.041763,0.0020878,1.0003e-24,0,0.00010223,0.0004169,0.24521,0.014255
1.325,0.216,0.005,0.040608,0.001671,8.5081e-25,0,0.00012131,0.00057771,0.20998,0.014215
1.275,0.264,0.005,0.039003,0.0010333,9.9328e-25,0,0.00013749,0.00072142,0.19058,0.014179
1.225,0.312,0.005,0.037086,0.0001831,1.8792e-25,0,0.00015121,0.00085491,0.17688,0.014146
1.175,0.36,0.005,0.034953,-0.0008598,2.8994e-25,0,0.00016259,0.00097997,0.16592,0.014116
1.125,0.408,0.005,0.032672,-0.0020822,0,0,0.00017178,0.0010955,0.15681,0.01409
1.075,0.456,0.005,0.0303,-0.003469,4.2824e-25,0,0.00017899,0.0011995,0.14923,0.014067
1.025,0.50502,0.005,0.027833,-0.0050115,3.913e-25,0,0.00018459,0.0012917,0.14291,0.014047
0.975,0.55506,0.005,0.025306,-0.0066962,-5.5384e-25,0,0.00018883,0.0013704,0.13779,0.014029
0.925,0.60511,0.005,0.022795,-0.0085033,-1.958e-25,0,0.00019199,0.001433,0.13398,0.014016
0.875,0.65515,0.005,0.020322,-0.010419,-6.2805e-25,0,0.0001944,0.0014791,0.13143,0.014007
0.825,0.70519,0.005,0.017906,-0.012432,2.787e-33,0,0.00019638,0.0015088,0.13016,0.014002
0.775,0.75523,0.005,0.015562,-0.014531,1.3468e-24,0,0.00019827,0.0015227,0.13021,0.014002
0.725,0.80528,0.005,0.013304,-0.016709,1.4725e-24,0,0.00020039,0.0015218,0.13168,0.014008
0.675,0.85532,0.005,0.011145,-0.018958,-2.4061e-25,0,0.0002031,0.0015078,0.1347,0.01402
0.625,0.90536,0.005,0.009098,-0.021269,-4.6473e-25,0,0.00020678,0.001483,0.13944,0.014037
0.575,0.9554,0.005,0.0071743,-0.023633,-3.8659e-25,0,0.0002118,0.0014504,0.14603,0.01406
0.525,1.0054,0.005,0.005387,-0.026033,-1.163e-24,0,0.00021854,0.0014133,0.15463,0.01409
0.475,1.0555,0.005,0.0037502,-0.028444,-1.3853e-24,0,0.00022727,0.0013745,0.16535,0.014126
0.425,1.1055,0.005,0.0022797,-0.030831,2.5887e-24,0,0.0002381,0.0013353,0.17831,0.014168
0.375,1.1556,0.005,0.00099463,-0.033148,8.0026e-25,0,0.00025077,0.0012941,0.19378,0.014217
0.325,1.2056,0.005,-7.9559e-05,-0.03534,-1.3367e-24,0,0.00026455,0.0012454,0.21243,0.014273
0.275,1.2557,0.005,-0.00091582,-0.037348,8.2743e-25,0,0.00027795,0.0011783,0.23589,0.014335
0.225,1.3057,0.005,-0.0014861,-0.03912,-6.6403e-25,0,0.00028849,0.001077,0.26786,0.014405
0.175,1.3557,0.005,-0.0017532,-0.040618,8.6232e-25,0,0.00029201,0.00091922,0.31767,0.014484
0.125,1.4058,0.005,-0.0017292,-0.041812,2.8285e-25,0,0.00028102,0.00068059,0.4129,0.014575
0.075,1.4558,0.005,-0.0011079,-0.042591,-2.4606e-24,0,0.00023856,0.00035813,0.66612,0.01467
0.025,1.5059,0.005,-0.0010369,-0.041563,-1.7295e-24,0,0.00012816,6.5461e-05,1.9578,0.014799
1.575,0.024,0.005,0.029591,0.0011015,-3.1259e-24,0,5.5723e-06,2.6231e-06,2.1243,0.014441
1.525,0.072,0.005,0.039663,0.0024512,-1.0579e-24,0,4.259e-05,6.2133e-05,0.68546,0.014381
1.475,0.12,0.005,0.041482,0.0027703,6.3003e-26,0,7.5207e-05,0.00021557,0.34888,0.014325
1.425,0.168,0.005,0.041327,0.0027477,0,0,9.9198e-05,0.00039867,0.24882,0.014272
1.375,0.216,0.005,0.04033,0.0024201,0,0,0.00011848,0.00056428,0.20996,0.014224
1.325,0.264,0.005,0.038856,0.0018737,-1.1053e-24,0,0.00013478,0.00071166,0.18939,0.01418
1.275,0.312,0.005,0.037051,0.0011185,3.6168e-39,0,0.00014861,0.00084775,0.1753,0.014141
