"Points:0","Points:1","Points:2","U:0","U:1","U:2"
0.825,0.024,0.005,0.033623,-0.0012853,1.0093e-24
0.775,0.072,0.005,0.033889,-0.0023332,-3.5944e-24
0.725,0.12,0.005,0.032298,-0.0043646,-1.4905e-38
0.675,0.168,0.005,0.030334,-0.0063834,5.6437e-25
0.625,0.216,0.005,0.02814,-0.008527,1.3912e-24
0.575,0.264,0.005,0.025751,-0.010729,1.2798e-24
0.525,0.312,0.005,0.023209,-0.012969,1.6894e-25
0.475,0.36,0.005,0.020568,-0.015222,1.0416e-24
0.425,0.408,0.005,0.017886,-0.017467,1.6975e-27
0.375,0.456,0.005,0.015213,-0.019687,1.0947e-39
0.325,0.50502,0.005,0.012572,-0.0219,1.1152e-24
0.275,0.55506,0.005,0.010014,-0.024096,-2.0766e-25
0.225,0.60511,0.005,0.0076184,-0.02623,-1.5076e-24
0.175,0.65515,0.005,0.0054426,-0.028273,-1.7439e-24
0.125,0.70519,0.005,0.0035217,-0.030151,-8.083e-25
0.075,0.75523,0.005,0.0019056,-0.031634,-3.3682e-27
0.025,0.80528,0.005,0.00069345,-0.031536,-2.3126e-24
0.875,0.024,0.005,0.035051,-0.0011468,3.2069e-24
0.825,0.072,0.005,0.035481,-0.0021052,-5.1709e-24
0.775,0.12,0.005,0.033916,-0.0039965,-2.2705e-24
0.725,0.168,0.005,0.03195,-0.0058906,2.5434e-24
0.675,0.216,0.005,0.02974,-0.0079307,1.8981e-24
0.625,0.264,0.005,0.02733,-0.010051,-5.1459e-39
0.575,0.312,0.005,0.024762,-0.012231,-9.7714e-25
0.525,0.36,0.005,0.02209,-0.014445,1.1212e-24
0.475,0.408,0.005,0.019373,-0.016667,1.0001e-24
0.425,0.456,0.005,0.01666,-0.018876,-3.8182e-26
0.375,0.50502,0.005,0.013974,-0.021086,-9.8848e-25
0.325,0.55506,0.005,0.011361,-0.023279,4.0762e-39
0.275,0.60511,0.005,0.0088997,-0.025415,8.2592e-25
0.225,0.65515,0.005,0.0066412,-0.027476,-7.0277e-25
0.175,0.70519,0.005,0.0046382,-0.029432,5.6217e-25
0.125,0.75523,0.005,0.0029226,-0.031215,1.0662e-38
0.075,0.80528,0.005,0.0015445,-0.032621,-1.986e-24
0.025,0.85532,0.005,0.00050152,-0.032504,-1.1512e-26
0.925,0.024,0.005,0.036323,-0.0010159,-3.8366e-24
0.875,0.072,0.005,0.03693,-0.0018853,-2.9948e-24
0.825,0.12,0.005,0.035408,-0.0036377,-1.0005e-38
0.775,0.168,0.005,0.033454,-0.0054069,9.6315e-25
0.725,0.216,0.005,0.031244,-0.0073394,-1.3389e-24
0.675,0.264,0.005,0.028826,-0.0093704,-2.1591e-24
0.625,0.312,0.005,0.026243,-0.01148,-9.3261e-25
0.575,0.36,0.005,0.023549,-0.013642,2.0645e-24
0.525,0.408,0.005,0.020799,-0.01583,2.0131e-24
0.475,0.456,0.005,0.018048,-0.018019,9.1333e-25
0.425,0.50502,0.005,0.015313,-0.020215,3.9042e-26
0.375,0.55506,0.005,0.012642,-0.022399,-9.534e-25
0.325,0.60511,0.005,0.01011,-0.024528,8.7202e-25
0.275,0.65515,0.005,0.0077669,-0.026587,7.7602e-25
